cdef_global
elizabethforma
timkaine
SenWarren
JohnKerry
FLOTUS
POTUS
XinhuaChinese
gaoyu200812
liaoyiwu1
mingpaocom
BostonGlobe
CNN
CBS
CBSTweet
chinashiyu
cnbrknews
Passiontimes
appledaily_hk
RFA_Chinese
