mcgd
hmkyale
OriolVinyalsML
NBerggruen
Jessicalessin
adamdangelo
NandoDF
drfeifei
karpathy
ylecun
alaindebotton
poniewozik
LKrauss1
stewartbrand
AtheistQOTD
bgreene
tim_cook
sundarpichai
peterthiel
NellieBowles
